Date,Price,ABC,Sensex,DividendAnnounced,Sentiment,Nifty
29-01-2001,801.6,-0.01402214,-0.009815491,0,-0.050997441,-0.009614746
30-01-2001,806.7,0.006362275,1.38E-05,0,0.036572732,0.002328405
31-01-2001,822.75,0.019895872,0.01716207,0,0.049534528,0.022167634
01-02-2001,811.55,-0.013612884,-0.024260983,0,0.025267553,-0.019602233
02-02-2001,797.1,-0.017805434,0.004694803,0,-0.082056397,0.037599243
05-02-2001,781.55,-0.019508217,0.001969821,0,-0.003035593,0.008501769
06-02-2001,788.3,0.008636684,-0.01307344,0,-0.025887103,-0.009349092
07-02-2001,819.85,0.040022834,-0.009223124,0,0.040900593,-0.022132816
08-02-2001,803.95,-0.019393792,-0.032935684,0,-0.00993354,-0.035786788
09-02-2001,811.15,0.008955781,-0.002297339,0,0.074096942,-0.009695366
12-02-2001,829.65,0.022807126,-0.010457876,0,-0.047220467,-0.010024318
13-02-2001,777.8,-0.062496233,0.043580822,0,-0.079688644,0.033568318
14-02-2001,762,-0.020313705,0.005794624,0,-0.003524191,0.006855669
15-02-2001,755.7,-0.008267717,-0.041316587,0,0.009834258,-0.04127231
16-02-2001,739.5,-0.021437078,-0.023696266,0,-0.018364262,-0.015160303
19-02-2001,743.2,0.005003381,0.012198233,0,0.016020127,0.019198322
20-02-2001,797.85,0.073533369,0.002483388,0,0.059434189,0.01200735
21-02-2001,792.25,-0.007018863,-0.04313103,0,0.015362266,-0.04657031
22-02-2001,765.05,-0.034332597,-0.029384641,0,0.049257174,-0.029501106
23-02-2001,715,-0.065420561,-0.060309616,0,-0.027571614,-0.065104173
26-02-2001,752.15,0.051958042,0.052075184,0,0.091802644,0.06568214
27-02-2001,772.95,0.027654058,0.025457513,0,0.074091299,0.014693431
28-02-2001,780.8,0.010155896,-0.019403852,0,-0.1213028,-0.027109344
01-03-2001,786.25,0.00698002,-0.006207051,0,-0.025949169,-0.007333159
02-03-2001,785.55,-0.000890302,-0.013456047,0,0.012727618,-0.009606011
05-03-2001,800.2,0.018649354,0.032314018,0,0.03250979,0.043882885
06-03-2001,809.3,0.011372157,-0.020337266,0,0.022160814,-0.042278629
07-03-2001,809.05,-0.000308909,-0.02118757,0,-0.020245044,-0.011677776
08-03-2001,812,0.003646252,0.000286085,0,0.001416539,0.011553026
